stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\xaver\OneDrive\Dokumente\Hagenberg\WS21\SWO3_Softwareenwticklung_mit_klassischen_Sprachen\Uebung\swo3\Aufgabe4\snake\x64\Debug\allegro5.cfg r
system   D            wsystem.c:819  maybe_parent_dir                 [   0.00000] Also searching C:\Users\xaver\OneDrive\Dokumente\Hagenberg\WS21\SWO3_Softwareenwticklung_mit_klassischen_Sprachen\Uebung\swo3\Aufgabe4\snake\x64\
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.7
dtor     D               dtor.c:196  _al_register_destructor          [   0.00057] added dtor for timer 00000149C9077F30, func 00007FFBC17B104B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00134] added dtor for queue 00000149C908D5A0, func 00007FFBC17B1C21
system   D            wsystem.c:819  maybe_parent_dir                 [   0.00159] Also searching C:\Users\xaver\OneDrive\Dokumente\Hagenberg\WS21\SWO3_Softwareenwticklung_mit_klassischen_Sprachen\Uebung\swo3\Aufgabe4\snake\x64\
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00193] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00201] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:783  load_library_at_path             [   0.01294] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.08567] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.08773] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.08784] al_display=00000149CAA608E0
d3d      D         d3d_disp.cpp:1784 d3d_create_display_locked        [   0.08792] al_display->vt=00000149CAA60730
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.09489] found 288 format combinations
